item_code,HV,SS,OS,MS,weight,description
6.1.01.6.1.08.0,3.4681090993783394,0.0,,,0.08462996614801,matches (box)
6.1.01.6.1.09.0,2.205674148678893,0.0,,,0.032669986932,candle (no.)
6.1.01.6.1.10.0,2.260206954868103,0.0,,,0.15755993697602,other petty articles
6.1.01.7.2.01.X,1.971019221306846,0.0,,,0.6391197443521,domestic servant/cook
6.1.01.7.2.03.0,3.48474581741372,0.0,,,0.041209983516,sweeper
6.1.01.7.2.05.0,6.58489044399222,0.0,,,0.039509984196,Monthly Maintainance charges
6.1.01.7.2.07.X,2.5463447924405997,0.0,,,0.15720993711602,other consumer services excluding conveyance
6.1.02.1.2.05.X,1.8386037758452458,0.0,,,0.44056982377207005,hospital and nursing home charges
6.1.02.2.1.01.X,1.7493318426400122,0.0,,,4.01147839540864,medicine [non-institutional]
6.1.02.2.1.03.X,6.024355342953515,0.0,,,0.0002099999160000336,family planning devices
6.1.02.2.1.04.0,2.7058223777188433,0.0,,,0.05609997756,spectacles
6.1.02.2.2.06.0,1.8373782901274551,0.0,,,0.11598995360400999,other medical expenses [non-institutional]
6.1.02.2.2.07.0,2.1734173398471532,0.0,,,0.79048968380412,doctors/surgeons fee-first consultation [non-institutional]
6.1.02.2.2.08.X,1.4023280167378365,0.0,,,0.47596980961206997,X-ray; ECG; pathological test; etc. [non-institutional]
6.1.03.1.1.01.0,2.4678205287572896,0.14554452337218116,,,0.48052980778807, motor car; jeep
6.1.03.1.1.02.X,3.821857868281883,0.005284600587458499,,,0.7926596829361201, motor cycle; scooter
6.1.03.1.1.03.0,3.1527510678180786,0.0,,,0.13010994795602,bicycle [without  accessories]
6.1.03.1.1.05.X,3.495164923070632,0.0,,,0.07220997111601, tyres and tubes
6.1.03.2.1.01.0,9.459190412100343,0.0,,,2.18696912521234,petrol for vehicle
6.1.03.2.1.02.0,10.801642609415076,0.0,,,0.14799994080002002,diesel for vehicle
6.1.03.2.1.03.X,2.0856277113850736,0.0,,,0.050019979992,lubricants and other fuels for vehicle
6.1.03.2.2.04.0,5.780137787838881,0.0,,,0.009849996060001575,other conveyance expenses
6.1.03.3.2.01.X,2.13417325119389,0.07977600005235208,,,0.18494992602002,railway fare
6.1.03.3.2.02.0,3.3662192214852737,0.0,,,1.36716945313221,bus/tram fare
6.1.03.3.2.03.X,2.284370737114442,0.0,,,0.56824977270009,taxi; auto-rickshaw fare
6.1.03.3.2.04.0,2.4670515263904345,0.024525744228331536,,,0.045529981787999996,rickshaw [hand drawn and cycle] fare
6.1.03.3.2.05.0,8.009705422941265,0.0,,,0.003859998456000617,horse cart fare
6.1.03.3.2.06.0,2.7741601459509933,0.0,,,0.24582990166803,school bus; van; etc.
6.1.03.3.2.07.0,44.82237361387884,0.1306578767298633,,,0.07721996911201,air fare [normal]: economy class [adult]
6.1.03.3.2.08.0,5.696759022354608,0.0,,,0.0004299998280000687,steamer; boat fare
6.1.03.3.2.09.0,7.872950228003533,0.0,,,0.001989999204000318,porter charges
6.1.03.4.1.01.0,2.797944244673018,0.0,,,0.13505994597602,mobile handset
6.1.03.5.2.01.0,1.7043242956226228,0.0,,,0.17063993174401998,telephone charges: landline
6.1.03.5.2.02.X,4.408787963352984,0.0,,,1.83915926433629,telephone charges: mobile
6.1.03.5.2.03.0,2.6687635756412447,0.0,,,0.08003996798401,internet expenses
6.1.04.1.1.01.X,4.288055509171259,0.0,,,0.003449998620000551,radio; tape recorder; 2-in-1
6.1.04.1.1.02.0,4.379852054487643,0.0,,,0.16208993516401998,television
6.1.04.1.1.03.0,8.139439784659396,0.0,,,0.005789997684000925,VCR/VCD/DVD player
6.1.04.1.1.05.X,5.694937528813639,0.0,,,0.0029999988000004797,camera and photographic equipment
6.1.04.1.1.06.X,2.881864175988471,0.0,,,0.11072995570801002,PC/Laptop/other peripherals incl. software
6.1.04.1.1.07.0,4.013512922859097,0.0,,,0.00468999812400075,CD; DVD; audio/video cassette; etc.
6.1.04.1.1.11.0,7.880943727753581,0.0,,,0.0015599993760002494,goods for recreation and hobbies
6.1.04.1.1.12.X,1.3215913933628924,0.004409979581041501,,,0.11242995502801,sports goods; toys; etc.
6.1.04.1.1.14.X,1.4098722079001695,0.0,,,0.18134992746002002,newspapers; periodicals
6.1.04.1.2.04.0,2.0752094936455863,0.0,,,0.020079991968,photography
6.1.04.1.2.08.0,11.684995161760762,0.0,,,0.0027999988800004477,VCD/DVD hire [incl. instrument]
6.1.04.2.2.01.0,3.797182258812304,0.0,,,0.13069994772002,cinema: new release [normal day]
6.1.04.2.2.02.0,1.7097240904360957,0.026769691662871575,,,0.82004967198013,monthly charges for cable TV connection
6.1.04.2.2.04.0,0.0,0.0,,,1.9999992000003198e-05,library charges
6.1.04.2.2.05.0,3.1362839403761127,0.0,,,0.11323995470400999,other entertainment
6.1.04.2.2.06.0,2.513004727344866,0.0,,,0.0014599994160002332,club fees
6.1.04.2.2.07.0,6.726042841198856,0.012652109168833081,,,0.009039996384001445,hotel lodging charges
6.1.05.1.1.02.X,1.671216173201759,0.0,,,0.55901977639208,books; journals: first hand
6.1.05.1.1.04.X,2.1015497844795035,0.0,,,0.38799984480006,stationery; photocopying charges
6.1.05.2.2.01.X,1.6790184929592893,0.0,,,2.8981388407444597,tuition and other fees [school; college; etc.]
6.1.05.2.2.02.X,2.872562962517867,0.0,,,0.5766497693400899,private tutor/coaching centre
6.1.05.2.2.03.0,2.1845587956430834,0.0,,,0.040179983928,other educational expenses [incl. fees for enrollment in web-based training]
6.1.06.1.1.01.0,4.128265813383896,0.0,,,0.6381697447321,toilet soap
6.1.06.1.1.02.X,1.8545992541454213,0.018928677776340552,,,0.35604985758005003,toothpaste; toothbrush; comb; etc.
6.1.06.1.1.03.X,1.4061586228568754,0.0,,,0.39323984270406,powder; snow; cream; lotion and perfume
6.1.06.1.1.04.X,1.6047915815223213,0.0,,,0.45015981993606996,hair oil; shampoo; hair cream
6.1.06.1.1.05.X,1.238850406478603,0.0339811213867407,,,0.09755996097601,shaving blades; shaving stick; razor
6.1.06.1.1.06.X,1.276927559198692,0.0,,,0.044079982367999995,shaving cream; aftershave lotion
6.1.06.1.1.07.0,1.547565428501771,0.025949269970269917,,,0.08920996431601,sanitary napkins
6.1.06.1.1.09.X,5.000234823886653,0.0,,,0.0001699999320000272,clock; watch
6.1.06.1.1.10.X,4.154866087848974,0.0,,,0.0016099993560002575,suitcase; trunk; box; handbag and other travel goods
