item_code,HV
1.1.06.1.1.13.X,15.837132741361343
1.1.06.1.1.14.0,14.31834344725534
1.1.06.1.1.15.0,13.524444177187972
1.1.06.1.1.16.0,10.955865264144938
1.1.06.1.1.17.0,7.719650695753402
1.1.06.1.1.18.0,6.276692479986438
1.1.06.2.1.01.0,19.705937263230894
1.1.06.2.1.02.0,5.832172328367622
1.1.06.2.1.03.0,5.3047693440147965
1.1.06.2.1.04.0,7.636289218158478
1.1.06.2.1.05.0,5.603364329173962
1.1.06.2.1.06.0,4.665466560476641
1.1.06.2.1.07.X,6.031129211346761
1.1.06.2.1.08.0,2.7566365182215105
1.1.07.1.1.01.0,37.804859019764635
1.1.07.1.1.02.0,60.40078450096635
1.1.07.1.1.03.0,9.297496546436411
1.1.07.1.1.04.0,18.418771103295313
1.1.07.1.1.05.0,61.864639143154676
1.1.07.1.1.06.0,40.39196051310292
1.1.07.2.1.01.X,6.718074612832569
1.1.07.3.1.01.0,46.83245127486577
1.1.07.3.1.02.0,12.763739917867152
1.1.07.3.1.03.0,17.958228317603997
1.1.07.3.1.04.0,20.433190083012992
1.1.07.3.1.05.0,14.973366095231782
1.1.07.3.1.06.0,8.702166624214133
1.1.07.3.1.07.X,19.251369768252
1.1.07.3.1.08.X,8.748826949887324
1.1.07.3.1.09.0,17.830180499238878
1.1.07.3.1.10.X,9.572442346701079
1.1.07.3.1.11.0,14.738947994050193
1.1.07.3.1.12.X,6.4798012680749
1.1.07.4.1.01.0,3.750264855324195
1.1.07.4.1.02.0,47.90203164370479
1.1.08.1.1.01.0,26.033701878435533
1.1.08.1.1.02.0,15.909259889671295
1.1.08.1.1.03.0,14.510565745985353
1.1.08.1.1.04.0,11.283409136354852
1.1.08.1.1.05.0,11.492804353273137
1.1.08.1.1.06.0,19.972972238312074
1.1.08.1.1.07.0,11.23256805132996
1.1.08.1.1.08.0,9.113769446448401
1.1.08.1.1.09.X,5.718043812901766
1.1.08.2.1.01.0,9.21122365745389
1.1.08.2.1.02.0,14.139925472244512
1.1.08.2.1.03.0,4.4261828121277595
1.1.09.1.1.01.P,10.9997231272854
1.1.09.1.1.02.0,8.57153673414125
1.1.09.1.1.03.0,4.865977029776665
1.1.09.2.1.01.0,2.5080693769847513
1.1.09.2.1.02.0,4.87313610874467
1.1.09.2.1.03.X,1.1890645883166004
1.1.09.3.1.01.0,3.0728006950871327
1.1.10.1.1.01.0,4.804394932131497
1.1.10.1.1.02.0,29.872316627118668
1.1.10.1.1.03.0,8.06494984351962
1.1.10.1.1.04.0,5.1787433796371
